condition,method,seed,success,waypoints_reached,num_waypoints,length,cumulative_tracking_error,mean_tracking_error
nominal,vanilla,600000,0,0,3,800,2782.417,3.478
nominal,vanilla,600001,0,1,3,672,1856.344,2.762
nominal,vanilla,600002,0,1,3,800,2341.373,2.927
nominal,vanilla,600003,0,0,3,800,2143.878,2.680
nominal,vanilla,600004,0,0,3,800,1871.857,2.340
nominal,vanilla,600005,0,1,3,800,2389.882,2.987
nominal,vanilla,600006,0,1,3,800,2130.073,2.663
nominal,vanilla,600007,0,0,3,800,2421.635,3.027
nominal,vanilla,600008,0,0,3,800,2116.904,2.646
nominal,vanilla,600009,0,0,3,800,2932.219,3.665
nominal,vanilla,600010,0,0,3,800,2463.082,3.079
nominal,vanilla,600011,0,0,3,800,1837.690,2.297
nominal,vanilla,600012,0,1,3,800,2800.881,3.501
nominal,vanilla,600013,0,0,3,800,2287.618,2.860
nominal,vanilla,600014,0,0,3,800,1805.562,2.257
nominal,vanilla,600015,0,0,3,800,2244.108,2.805
nominal,vanilla,600016,0,0,3,800,1958.446,2.448
nominal,vanilla,600017,0,0,3,800,3100.015,3.875
nominal,vanilla,600018,0,0,3,800,2191.809,2.740
nominal,vanilla,600019,0,0,3,800,2215.194,2.769
nominal,vanilla,600020,0,0,3,800,2368.118,2.960
nominal,vanilla,600021,0,1,3,800,1833.040,2.291
nominal,vanilla,600022,0,0,3,800,2415.117,3.019
nominal,vanilla,600023,0,0,3,800,2803.103,3.504
nominal,vanilla,600024,0,0,3,800,2018.894,2.524
nominal,vanilla,600025,0,0,3,800,1984.800,2.481
nominal,vanilla,600026,0,0,3,800,2490.092,3.113
nominal,vanilla,600027,0,1,3,800,2331.336,2.914
nominal,vanilla,600028,0,0,3,800,2602.209,3.253
nominal,vanilla,600029,0,0,3,800,2458.680,3.073
nominal,flyada,600000,1,3,3,210,455.938,2.171
nominal,flyada,600001,1,3,3,185,390.369,2.110
nominal,flyada,600002,1,3,3,223,462.674,2.075
nominal,flyada,600003,1,3,3,256,552.653,2.159
nominal,flyada,600004,1,3,3,199,416.187,2.091
nominal,flyada,600005,1,3,3,232,504.515,2.175
nominal,flyada,600006,1,3,3,219,463.766,2.118
nominal,flyada,600007,1,3,3,226,436.793,1.933
nominal,flyada,600008,1,3,3,194,376.788,1.942
nominal,flyada,600009,1,3,3,234,509.073,2.176
nominal,flyada,600010,1,3,3,184,362.417,1.970
nominal,flyada,600011,1,3,3,190,331.039,1.742
nominal,flyada,600012,0,2,3,800,974.045,1.218
nominal,flyada,600013,1,3,3,222,435.280,1.961
nominal,flyada,600014,1,3,3,194,341.232,1.759
nominal,flyada,600015,1,3,3,282,626.999,2.223
nominal,flyada,600016,1,3,3,216,444.724,2.059
nominal,flyada,600017,1,3,3,197,361.491,1.835
nominal,flyada,600018,1,3,3,255,546.118,2.142
nominal,flyada,600019,1,3,3,216,467.872,2.166
nominal,flyada,600020,1,3,3,189,365.059,1.932
nominal,flyada,600021,1,3,3,232,537.094,2.315
nominal,flyada,600022,1,3,3,200,404.856,2.024
nominal,flyada,600023,1,3,3,213,519.309,2.438
nominal,flyada,600024,1,3,3,258,513.921,1.992
nominal,flyada,600025,1,3,3,204,371.688,1.822
nominal,flyada,600026,1,3,3,231,512.650,2.219
nominal,flyada,600027,1,3,3,231,538.483,2.331
nominal,flyada,600028,1,3,3,248,431.675,1.741
nominal,flyada,600029,1,3,3,207,361.445,1.746
hard,vanilla,600000,0,0,3,800,1845.812,2.307
hard,vanilla,600001,0,0,3,800,2417.147,3.021
hard,vanilla,600002,0,0,3,800,2090.963,2.614
hard,vanilla,600003,0,0,3,800,2044.109,2.555
hard,vanilla,600004,0,1,3,800,1996.210,2.495
hard,vanilla,600005,0,1,3,800,2772.477,3.466
hard,vanilla,600006,0,0,3,800,2501.195,3.126
hard,vanilla,600007,0,1,3,800,1984.019,2.480
hard,vanilla,600008,0,0,3,800,1838.289,2.298
hard,vanilla,600009,0,0,3,800,2495.104,3.119
hard,vanilla,600010,0,0,3,800,2298.808,2.874
hard,vanilla,600011,0,0,3,800,1928.510,2.411
hard,vanilla,600012,0,0,3,800,1901.105,2.376
hard,vanilla,600013,0,0,3,800,2184.696,2.731
hard,vanilla,600014,0,0,3,800,2011.175,2.514
hard,vanilla,600015,0,0,3,800,2746.803,3.434
hard,vanilla,600016,0,0,3,800,2238.392,2.798
hard,vanilla,600017,0,0,3,80,227.261,2.841
