method,id,axis,level,success_rate,collision_rate,final_dist_mean,final_dist_p90,ep_length_mean,delta_u2_mean,return_mean,n
vanilla,nominal,nominal,0.0,0.03333333333333333,0.03333333333333333,3.302363629142443,5.216497135162354,383.7,0.14454249367117883,-127.48996727317324,30
vanilla,mass+10,mass,0.1,0.0,0.06666666666666667,3.910204529762268,5.1094806671142585,382.3,0.15209915166099866,-124.0906158006539,30
vanilla,mass+20,mass,0.2,0.0,0.03333333333333333,3.451229484875997,4.235728168487549,394.3333333333333,0.15595072681705158,-127.08923574561686,30
vanilla,mass+30,mass,0.3,0.0,0.03333333333333333,3.0865867575009664,4.29382734298706,398.9,0.15211019689838093,-131.10978282290512,30
vanilla,drag+50,drag,0.5,0.0,0.03333333333333333,3.315519754091899,4.408835029602051,391.53333333333336,0.156759233524402,-125.6361521898623,30
vanilla,drag+100,drag,1.0,0.0,0.03333333333333333,2.973649001121521,3.958830308914185,391.5,0.17127549151579538,-117.25780411531788,30
vanilla,wind_x=0.5,wind,0.5,0.0,0.1,3.5066124200820923,5.012691259384155,386.7,0.15061915293335915,-131.28658818261454,30
vanilla,wind_x=1.0,wind,1.0,0.0,0.03333333333333333,3.6958985765775045,5.234012460708619,394.9,0.14260857651631037,-137.48049420864436,30
vanilla,wind_x=1.5,wind,1.5,0.0,0.06666666666666667,3.600210638840993,4.8560119628906255,388.43333333333334,0.1399791476627191,-140.77976404089623,30
vanilla,delay=1,delay,1.0,0.0,0.13333333333333333,4.191878616809845,5.624525022506714,373.3666666666667,0.14372787177562713,-134.45493390770162,30
vanilla,delay=2,delay,2.0,0.0,0.06666666666666667,4.592979300022125,6.356219100952149,385.1666666666667,0.1293302288899819,-145.40127408489062,30
vanilla,delay=3,delay,3.0,0.0,0.0,5.57080569267273,7.3695862770080565,400.0,0.12291429688533147,-160.26160294551482,30
flyada,nominal,nominal,0.0,1.0,0.0,0.3917334496974945,0.498870912194252,90.33333333333333,0.028953198964397114,75.59068611953313,30
flyada,mass+10,mass,0.1,1.0,0.0,0.3669622875750065,0.49546754360198975,92.06666666666666,0.028405393039186797,74.65824063606063,30
flyada,mass+20,mass,0.2,1.0,0.0,0.32203221395611764,0.49326083064079285,93.73333333333333,0.027092667234440645,73.78382590919455,30
flyada,mass+30,mass,0.3,1.0,0.0,0.340446292857329,0.4906840234994888,98.93333333333334,0.026443658427645764,72.6702603429233,30
flyada,drag+50,drag,0.5,1.0,0.0,0.39951394150654473,0.4974695235490799,87.86666666666666,0.02742704705645641,75.5668084367495,30
flyada,drag+100,drag,1.0,1.0,0.0,0.4229895959297816,0.49798256158828735,90.26666666666667,0.02681966529538234,75.23155449653696,30
flyada,wind_x=0.5,wind,0.5,1.0,0.0,0.3998896742860476,0.4978301405906677,86.3,0.02797705363482237,75.73761926530908,30
flyada,wind_x=1.0,wind,1.0,1.0,0.0,0.4231027861436208,0.49854034185409546,92.0,0.03058262951672077,75.2280130629561,30
flyada,wind_x=1.5,wind,1.5,1.0,0.0,0.44766177783409755,0.4989118754863739,110.73333333333333,0.026349545146028202,73.43464775696064,30
flyada,delay=1,delay,1.0,1.0,0.0,0.35932303716739017,0.4946705102920532,88.66666666666667,0.02857385507474343,75.38541359867435,30
flyada,delay=2,delay,2.0,1.0,0.0,0.345074612647295,0.49656772911548613,91.06666666666666,0.027261287284394104,74.86151412405881,30
flyada,delay=3,delay,3.0,1.0,0.0,0.3009618697067102,0.4918533354997635,95.76666666666667,0.027550863536695638,74.18296499232763,30
