method,id,axis,level,success_rate,collision_rate,final_dist_mean,final_dist_p90,ep_length_mean,delta_u2_mean,return_mean,n
vanilla,nominal,nominal,0.0,1.0,0.0,0.4178963487346967,0.4944443106651306,82.63333333333334,0.021584010838220518,76.38784986253827,30
vanilla,mass+10,mass,0.1,1.0,0.0,0.40161474148432413,0.49511879980564116,85.5,0.02074137460440397,75.38267025994261,30
vanilla,mass+20,mass,0.2,1.0,0.0,0.3911060685912768,0.49587667286396026,92.76666666666667,0.01938588103900353,74.11556043535053,30
vanilla,mass+30,mass,0.3,1.0,0.0,0.38646752486626307,0.4940950095653534,98.76666666666667,0.01996472928052147,72.88205866698563,30
vanilla,drag+50,drag,0.5,1.0,0.0,0.40683639496564866,0.49859556257724763,82.73333333333333,0.0206827056594193,76.23785561770822,30
vanilla,drag+100,drag,1.0,1.0,0.0,0.41057721624771754,0.4965034633874893,83.03333333333333,0.02344244591270884,76.0688775934366,30
vanilla,wind_x=0.5,wind,0.5,1.0,0.0,0.3853726175924142,0.49701290428638456,83.03333333333333,0.021655089408159255,76.35281458716467,30
vanilla,wind_x=1.0,wind,1.0,1.0,0.0,0.3945250064134598,0.49564905762672423,86.93333333333334,0.02025404100616773,75.95217264393547,30
vanilla,wind_x=1.5,wind,1.5,1.0,0.0,0.42723024835189183,0.49815299212932584,94.43333333333334,0.0219281116190056,75.0828140567116,30
vanilla,delay=1,delay,1.0,1.0,0.0,0.40595288823048276,0.49684284031391146,84.2,0.02153875840206941,75.94298931470946,30
vanilla,delay=2,delay,2.0,1.0,0.0,0.39389995485544205,0.495665967464447,89.23333333333333,0.022094351053237916,75.17994322310109,30
vanilla,delay=3,delay,3.0,1.0,0.0,0.38196936100721357,0.4968665152788162,93.23333333333333,0.022505932425459226,74.41602029312526,30
flyada,nominal,nominal,0.0,0.9666666666666667,0.0,0.4179714600245158,0.4988593190908432,93.76666666666667,0.04778003996858994,71.83135448577232,30
flyada,mass+10,mass,0.1,1.0,0.0,0.36537949492534,0.49352997839450835,86.16666666666667,0.04364060753335555,75.22089026316009,30
flyada,mass+20,mass,0.2,1.0,0.0,0.3428433932363987,0.4875563204288483,89.53333333333333,0.0382879834001263,74.20540573825782,30
flyada,mass+30,mass,0.3,1.0,0.0,0.3319047190248966,0.4496694982051849,93.4,0.04054800725231568,73.19236388392993,30
flyada,drag+50,drag,0.5,0.9666666666666667,0.0,0.4293056977291902,0.49710606038570404,94.06666666666666,0.044481691407660645,71.63994107619672,30
flyada,drag+100,drag,1.0,0.9666666666666667,0.0,0.44826415131489433,0.4977249622344971,94.26666666666667,0.04861416071653366,71.47526485133581,30
flyada,wind_x=0.5,wind,0.5,0.9666666666666667,0.0,0.4338541100422541,0.49720456302165983,93.76666666666667,0.04499325541158517,71.71291594813857,30
flyada,wind_x=1.0,wind,1.0,0.9,0.0,0.48229144314924877,0.5353516757488256,116.5,0.04693408068269491,62.89282968829254,30
flyada,wind_x=1.5,wind,1.5,0.9,0.0,0.49555325160423913,0.5366768479347235,126.16666666666667,0.04772208575159311,62.01611398058712,30
flyada,delay=1,delay,1.0,1.0,0.0,0.3700823316971461,0.4929206371307373,82.73333333333333,0.04860743557413419,75.89893605421669,30
flyada,delay=2,delay,2.0,0.9333333333333333,0.0,0.4142565893630187,0.49643994569778443,105.83333333333333,0.0422868924215436,66.80072462782519,30
flyada,delay=3,delay,3.0,0.9666666666666667,0.0,0.3637286588549614,0.4763314723968506,101.9,0.0386594345793128,70.33312356437254,30
